parcel_id,address,lat,lon,structure_type,year_built,assessed_value,owner_name,stories,sq_ft
19405001,1423 Palisades Dr,34.0412,-118.5231,Single Family Residential,1962,1850000,Mitchell R. Hargrove,2,2840
19405002,785 Sunset Mesa Rd,34.0567,-118.6123,Single Family Residential,1978,2100000,Sandra L. Beaumont,1,1920
19405003,2201 Topanga Canyon Blvd,34.0821,-118.5987,Commercial Retail,1985,980000,PCH Holdings LLC,1,4200
19405004,1044 Palisades Beach Rd,34.0334,-118.5412,Single Family Residential,1955,3200000,James & Karen Whitfield,2,3100
19405005,310 Malibu Canyon Rd,34.0956,-118.6845,Single Family Residential,2001,1650000,Derek A. Fontaine,2,2650
19405006,5567 Castellammare Dr,34.0478,-118.5567,Single Family Residential,1971,2450000,Rosario V. Medina,1,2100
19405007,888 Pacific Coast Hwy,34.0289,-118.4923,Commercial Restaurant,1990,1200000,Shoreline Ventures LLC,1,3800
19405008,1750 Amalfi Dr,34.0634,-118.5234,Single Family Residential,1966,2750000,Thomas & Ellen Crowley,2,3400
19405009,421 Palisades Ave,34.0512,-118.5678,Multi-Family Residential,1982,3100000,Coastal Living Partners,3,6200
19405010,9023 Haverford Ave,34.0723,-118.5345,Single Family Residential,2008,1890000,Nathan J. Bergstrom,2,2980
19405011,2445 Via de la Paz,34.0489,-118.5189,Single Family Residential,1975,2200000,Michael & Dana Trevino,2,2720
19405012,740 Bowdoin St,34.0561,-118.5312,Single Family Residential,1959,1780000,Judith K. Langford,1,1680
19405013,14823 Sunset Blvd,34.0612,-118.5489,Commercial Office,1997,2650000,Westside Realty Group,2,7800
19405014,1189 Chautauqua Blvd,34.0423,-118.5234,Single Family Residential,1948,2050000,Robert M. Sinclair,1,1840
19405015,3301 Malibu Rd,34.0198,-118.6712,Single Family Residential,1983,4100000,Chelsea P. Armstrong,2,3600
19405016,677 Lachman Ln,34.0534,-118.5156,Single Family Residential,2015,3400000,Priya & Raj Chandrasekaran,2,3850
19405017,456 Monument St,34.0698,-118.5423,Multi-Family Residential,1979,2200000,Monument Properties LLC,2,5100
19405018,8712 Bienveneda Ave,34.0823,-118.5267,Single Family Residential,1965,1960000,Walter H. Zimmerman,1,2050
19405019,1066 Las Pulgas Rd,34.0967,-118.6234,Single Family Residential,1972,1720000,Patricia A. Delgado,1,1780
19405020,2789 Pacific Coast Hwy,34.0156,-118.5678,Commercial Mixed Use,2003,1850000,PCH Ventures LLC,2,9200
